캐릭터,파티상위 4명,무기상위 1개,성유물 이름상위 1개
albedo,albedo / gorou / bennett / fischl,urakumisugiri,goldentroupe
alhaitham,alhaitham / xingqiu / nahida / yaoyao,lightoffoliarincision,deepwoodmemories
aloy,aloy / xiangling / bennett / diona,skywardharp,blizzardstrayer
amber,amber / bennett / gaming / raiden,thestringless,noblesseoblige
arlecchino,arlecchino / fischl / yelan / bennett,crimsonmoonssemblance,fragmentofharmonicwhimsy
ayaka,ganyu / ayaka / diona / mona,mistsplitterreforged,blizzardstrayer
ayato,ayato / furina / ganyu / kukishinobu,harangeppakufutsu,viridescentvenerer
baizhu,baizhu / alhaitham / cyno / fischl,prototypeamber,deepwoodmemories
barbara,barbara / amber / beidou / sucrose,everlastingmoonglow,oceanhuedclam
beidou,beidou / fischl / xingqiu / bennett,serpentspine,emblemofseveredfate
bennett,bennett / xiangling / xingqiu / fischl,skywardblade,noblesseoblige
candace,candace / xingqiu / bennett / nilou,favoniuslance,noblesseoblige
charlotte,charlotte / furina / wriothesley / neuvillette,favoniuscodex,noblesseoblige
chasca,chasca / bennett / furina / ororon,astralvulturescrimsonplumage,obsidiancodex
chevreuse,chevreuse / yoimiya / bennett / xiangling,engulfinglightning,noblesseoblige
chiori,chiori / navia / zhongli / gorou,urakumisugiri,goldentroupe
chongyun,chongyun / xingqiu / xiangling / bennett,serpentspine,blizzardstrayer
citlali,citlali / mavuika / arlecchino / bennett,favoniuscodex,scrolloftheheroofcindercity
clorinde,clorinde / fischl / furina / nahida,absolution,fragmentofharmonicwhimsy
collei,collei / fischl / tighnari / keqing,favoniuswarbow,deepwoodmemories
cyno,cyno / fischl / nahida / xingqiu,deathmatch,gildeddreams
dahlia,dahlia / escoffier / furina / skirk,favoniussword,noblesseoblige
dehya,dehya / bennett / ganyu / xiangling,beaconofthereedsea,emblemofseveredfate
diluc,diluc / bennett / sucrose / xingqiu,serpentspine,crimsonwitchofflames
diona,diona / ganyu / eula / hutao,favoniuswarbow,noblesseoblige
dori,dori / eula / fischl / xingqiu,favoniusgreatsword,noblesseoblige
emilie,emilie / bennett / xiangling / arlecchino,calamityqueller,unfinishedreverie
escoffier,escoffier / furina / gaming / shenhe,calamityqueller,goldentroupe
eula,eula / fischl / zhongli / bennett,songofbrokenpines,paleflame
faruzan,faruzan / wanderer / bennett / xiao,favoniuswarbow,noblesseoblige
fischl,fischl / nahida / arlecchino / beidou,aquasimulacra,goldentroupe
flins,flins / ineffa / sucrose / fischl,bloodsoakedruins,gildeddreams
freminet,freminet / fischl / diona / kaeya,songofbrokenpines,paleflame
furina,furina / baizhu / hutao / yelan,favoniussword,goldentroupe
gaming,gaming / bennett / xianyun / furina,serpentspine,marechausseehunter
ganyu,ganyu / diona / mona / shenhe,amosbow,blizzardstrayer
gorou,gorou / albedo / zhongli / noelle,favoniuswarbow,huskofopulentdreams
heizou,heizou / yelan / beidou / bennett,sacrificialfragments,viridescentvenerer
hutao,hutao / xingqiu / sucrose / yelan,staffofhoma,crimsonwitchofflames
ineffa,ineffa / furina / neuvillette / xilonen,fracturedhalo,gildeddreams
itto,itto / albedo / chiori / gorou,redhornstonethresher,huskofopulentdreams
jean,jean / xiao / furina / raiden,mistsplitterreforged,viridescentvenerer
kaeya,kaeya / chongyun / xingqiu / bennett,mistsplitterreforged,noblesseoblige
kaveh,kaveh / baizhu / nahida / nilou,favoniusgreatsword,deepwoodmemories
kazuha,bennett / xiangling / yelan / arlecchino,freedomsworn,viridescentvenerer
keqing,keqing / fischl / beidou / bennett,mistsplitterreforged,thunderingfury
kinich,kinich / emilie / xiangling / bennett,engulfinglightning,deepwoodmemories
kirara,kirara / fischl / nilou / alhaitham,keyofkhajnisut,deepwoodmemories
klee,klee / bennett / albedo / amber,thewidsith,crimsonwitchofflames
kokomi,beidou / fischl / gaming / kokomi,everlastingmoonglow,oceanhuedclam
kukishinobu,kukishinobu / gaming / raiden / wanderer,freedomsworn,tenacityofthemillelith
lanyan,lanyan / arlecchino / neuvillette / bennett,thrillingtalesofdragonslayers,viridescentvenerer
lauma,lauma / nilou / nahida / xingqiu,athousandfloatingdreams,deepwoodmemories
layla,layla / gaming / ganyu / shenhe,keyofkhajnisut,tenacityofthemillelith
lisa,lisa / fischl / beidou / bennett,skywardatlas,thunderingfury
lynette,lynette / bennett / xiangling / raiden,favoniussword,viridescentvenerer
lyney,lyney / bennett / xiangling / dehya,aquasimulacra,marechausseehunter
mavuika,mavuika / citlali / furina / mualani,athousandblazingsuns,instructor
mika,mika / eula / rosaria / wanderer,blacktassel,noblesseoblige
mizuki,fischl / furina / mizuki / ororon,athousandfloatingdreams,viridescentvenerer
mona,mona / amber / ganyu / bennett,prototypeamber,noblesseoblige
mualani,mualani / emilie / xiangling / zhongli,athousandfloatingdreams,obsidiancodex
nahida,nahida / nilou / fischl / kukishinobu,athousandfloatingdreams,deepwoodmemories
navia,navia / bennett / xiangling / furina,verdict,marechausseehunter
neuvillette,neuvillette / furina / amber / baizhu,prototypeamber,marechausseehunter
nilou,nilou / barbara / nahida / collei,keyofkhajnisut,deepwoodmemories
ningguang,ningguang / fischl / zhongli / albedo,solarpearl,archaicpetra
noelle,noelle / albedo / fischl / gorou,redhornstonethresher,huskofopulentdreams
ororon,ororon / chasca / furina / xilonen,chainbreaker,scrolloftheheroofcindercity
qiqi,qiqi / beidou / eula / fischl,favoniussword,oceanhuedclam
raiden,raiden / bennett / sara / furina,engulfinglightning,emblemofseveredfate
razor,razor / albedo / fischl / rosaria,serpentspine,emblemofseveredfate
rosaria,rosaria / bennett / kaeya / xingqiu,engulfinglightning,blizzardstrayer
sara,sara / bennett / raiden / xiangling,skywardharp,noblesseoblige
sayu,sayu / xiangling / xiao / xingqiu,favoniusgreatsword,viridescentvenerer
sethos,sethos / fischl / nahida / kirara,aquasimulacra,viridescentvenerer
shenhe,shenhe / ganyu / eula / bennett,calamityqueller,noblesseoblige
sigewinne,sigewinne / furina / nilou / yelan,favoniuswarbow,tenacityofthemillelith
skirk,skirk / citlali / escoffier / furina,azurelight,finaleofthedeepgalleries
sucrose,sucrose / bennett / xiangling / venti,sacrificialfragments,viridescentvenerer
tartaglia,tartaglia / bennett / xiangling / fischl,polarstar,heartofdepth
thoma,thoma / bennett / xingqiu / hutao,favoniuslance,noblesseoblige
tighnari,tighnari / fischl / nahida / yaemiko,hunterspath,gildeddreams
anemotraveler,gaming / bennett / wanderer / zhongli,freedomsworn,viridescentvenerer
dendrotraveler,fischl / razor / sucrose / bennett,favoniussword,deepwoodmemories
electrotraveler,bennett / electrotraveler / gaming / xiangling,favoniussword,emblemofseveredfate
geotraveler,bennett / fischl / gaming / kaeya,mistsplitterreforged,noblesseoblige
hydrotraveler,bennett / nahida / nilou / barbara,sacrificialsword,noblesseoblige
pyrotraveler,bennett / emilie / kinich / chevreuse,favoniussword,scrolloftheheroofcindercity
varesa,varesa / chevreuse / furina / xianyun,vividnotions,obsidiancodex
venti,venti / ganyu / bennett / mona,elegyfortheend,viridescentvenerer
wanderer,wanderer / bennett / faruzan / xiangling,thewidsith,desertpavilionchronicle
wriothesley,wriothesley / charlotte / furina / shenhe,cashflowsupervision,marechausseehunter
xiangling,xiangling / bennett / sucrose / xingqiu,engulfinglightning,emblemofseveredfate
xianyun,xianyun / faruzan / furina / gaming,cranesechoingcall,viridescentvenerer
xiao,xiao / albedo / bennett / faruzan,staffofhoma,vermillionhereafter
xilonen,xilonen / furina / mualani / neuvillette,favoniussword,scrolloftheheroofcindercity
xingqiu,xingqiu / sucrose / bennett / hutao,favoniussword,emblemofseveredfate
xinyan,xinyan / bennett / fischl / beidou,serpentspine,paleflame
yaemiko,yaemiko / alhaitham / bennett / fischl,skywardatlas,emblemofseveredfate
yanfei,yanfei / bennett / xingqiu / xiangling,thewidsith,deepwoodmemories
yaoyao,yaoyao / alhaitham / fischl / nahida,blacktassel,deepwoodmemories
yelan,yelan / hutao / xingqiu / nahida,aquasimulacra,emblemofseveredfate
yoimiya,yoimiya / bennett / xingqiu / yunjin,thunderingpulse,echoesofanoffering
yunjin,yunjin / zhongli / xingqiu / gaming,blacktassel,huskofopulentdreams
zhongli,zhongli / hutao / xiao / albedo,blacktassel,noblesseoblige
